path	phase	last_line
res://reports/pkg_0194/visual_final/s14_100_000_line.png	line	Lena: Maszyna pracuje własnym cyklem. Zobaczę, co utrzyma.
res://reports/pkg_0194/visual_final/s14_100_001_rest.png	rest	Lena: Maszyna pracuje własnym cyklem. Zobaczę, co utrzyma.
res://reports/pkg_0194/visual_final/s14_100_002_line.png	line	Lena: Dziennik podstacji: fala korekty co siedem sekund.
res://reports/pkg_0194/visual_final/s14_100_003_line.png	line	Lena: Najpierw zobaczę, co most robi z sekcją. Nazwę to potem.
res://reports/pkg_0194/visual_final/s14_100_004_rest.png	rest	Lena: Najpierw zobaczę, co most robi z sekcją. Nazwę to potem.
res://reports/pkg_0194/visual_final/s14_100_005_line.png	line	Lena: Utrzymanie i uległość. Dwa ruchy jednej metody.
res://reports/pkg_0194/visual_final/s14_100_006_line.png	line	Lena: Sekcja pokazała różnicę, zanim dostała nazwę.
res://reports/pkg_0194/visual_final/s14_100_007_rest.png	rest	Lena: Sekcja pokazała różnicę, zanim dostała nazwę.
res://reports/pkg_0194/visual_final/s15_100_008_line.png	line	Lena: Pętla odpowiada własnym rytmem. Sprawdzam, czyje to echo.
res://reports/pkg_0194/visual_final/s15_100_009_rest.png	rest	Lena: Pętla odpowiada własnym rytmem. Sprawdzam, czyje to echo.
res://reports/pkg_0194/visual_final/s15_100_010_line.png	line	DZIENNIK PĘTLI: 20:40 — próba miejscowej. Kontakt przy pierwszym odczycie.
res://reports/pkg_0194/visual_final/s15_100_011_line.png	line	Lena: Ten sam odczyt, który ja zrobiłam przed rozwidleniem. Kontakt, nie portal.
res://reports/pkg_0194/visual_final/s15_100_012_line.png	line	DZIENNIK PĘTLI: Powtórka: pełna próbka i późniejszy powrót. Wyjście na czas: sam czytnik, bez próbki.
res://reports/pkg_0194/visual_final/s15_100_013_line.png	line	Lena: Komenda UCP przyszła po kontakcie. Ktoś przerwał ją z zewnątrz.
res://reports/pkg_0194/visual_final/s15_100_014_rest.png	rest	Lena: Komenda UCP przyszła po kontakcie. Ktoś przerwał ją z zewnątrz.
res://reports/pkg_0194/visual_final/s15_100_015_rest.png	rest	Lena: Komenda UCP przyszła po kontakcie. Ktoś przerwał ją z zewnątrz.
res://reports/pkg_0194/visual_final/s15_100_016_line.png	line	Lena: Impuls kontrolny wraca identyczny. Zapisuję, nie wierzę.
res://reports/pkg_0194/visual_final/s15_100_017_line.png	line	Lena: To może być nagranie. Potrzebuję drugiego takiego samego.
res://reports/pkg_0194/visual_final/s15_100_018_rest.png	rest	Lena: To może być nagranie. Potrzebuję drugiego takiego samego.
res://reports/pkg_0194/visual_final/s15_100_019_rest.png	rest	Lena: To może być nagranie. Potrzebuję drugiego takiego samego.
res://reports/pkg_0194/visual_final/s15_100_020_line.png	line	Lena: Impuls kontrolny wraca identyczny. Zapisuję, nie wierzę.
res://reports/pkg_0194/visual_final/s15_100_021_line.png	line	Lena: To może być nagranie. Potrzebuję drugiego takiego samego.
res://reports/pkg_0194/visual_final/s15_100_022_rest.png	rest	Lena: To może być nagranie. Potrzebuję drugiego takiego samego.
res://reports/pkg_0194/visual_final/s15_100_023_line.png	line	Lena: Dwa identyczne echa. Teraz w tym samym nadajniku przestawię jeden element trzeciej próby.
res://reports/pkg_0194/visual_final/s15_100_024_line.png	line	Lena: To moja świadoma decyzja. Jeśli odpowiedź poprawi tylko ten błąd, to nie nagranie.
res://reports/pkg_0194/visual_final/s15_100_025_rest.png	rest	Lena: To moja świadoma decyzja. Jeśli odpowiedź poprawi tylko ten błąd, to nie nagranie.
res://reports/pkg_0194/visual_final/s15_100_026_rest.png	rest	Lena: To moja świadoma decyzja. Jeśli odpowiedź poprawi tylko ten błąd, to nie nagranie.
res://reports/pkg_0194/visual_final/s15_100_027_vignette.png	vignette	Lena: To moja świadoma decyzja. Jeśli odpowiedź poprawi tylko ten błąd, to nie nagranie.
res://reports/pkg_0194/visual_final/s15_100_028_line.png	line	Lena: Odpowiedź poprawiła tylko mój celowy błąd. To żywy sygnał.
res://reports/pkg_0194/visual_final/s15_100_029_line.png	line	Lena: Nie ma jej w domu. Jest po drugiej stronie pętli.
res://reports/pkg_0194/visual_final/s15_100_030_rest.png	rest	Lena: Nie ma jej w domu. Jest po drugiej stronie pętli.
res://reports/pkg_0194/visual_final/s15_100_031_line.png	line	NOTATKA SERWISOWA: Brak odpowiedzi w trzy sekundy — przerwij. Bez jej zgody nie powtarzaj.
res://reports/pkg_0194/visual_final/s15_100_032_line.png	line	Lena: Zostawiła warunek przerwania. To była decyzja, nie wypadek.
res://reports/pkg_0194/visual_final/s15_100_033_line.png	line	Lena: Przerwę tak samo: po braku odpowiedzi. Za nią działać nie będę.
