surface	mode	path	driver	width	height	textless	md5	measurement	heuristic
shell_title	pl	reports/pkg_0182/visual/shell_title__pl.png	Windows	640	360	false	bd27f9c4c34dabd8080f5fc44506ec13	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
settings	pl	reports/pkg_0182/visual/settings__pl.png	Windows	640	360	false	50cc2390ee23ecd929d886711b68ffc8	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
shell_title	en	reports/pkg_0182/visual/shell_title__en.png	Windows	640	360	false	830b3bf41088ca7b07db71b5c650d5c6	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
cold_open	initial	reports/pkg_0182/visual/cold_open__initial.png	Windows	640	360	false	05aeaebde19bef280fbd9e5f4f42ba83	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_01	normal	reports/pkg_0182/visual/station_01__normal.png	Windows	640	360	false	d444c08c5c8a7277d2167ad9d81b4b8d	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_01	key_object	reports/pkg_0182/visual/station_01__key_object.png	Windows	640	360	false	d87217c515fa00b98461b29b72946022	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_01	interaction	reports/pkg_0182/visual/station_01__interaction.png	Windows	640	360	false	14b331362211cc76f0b27398677b3897	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_01	m3_mono	reports/pkg_0182/visual/station_01__m3_mono.png	Windows	640	360	true	7448f4c362de1234407b29bd866e7502	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
pause	campaign	reports/pkg_0182/visual/pause__campaign.png	Windows	640	360	false	68e841c70ef244d88e1c75d1a36d96f0	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_02	normal	reports/pkg_0182/visual/station_02__normal.png	Windows	640	360	false	244d541642564481aae19151b67b34de	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_02	key_object	reports/pkg_0182/visual/station_02__key_object.png	Windows	640	360	false	c2d99958438e3f8931f1275da232a3d8	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_02	interaction	reports/pkg_0182/visual/station_02__interaction.png	Windows	640	360	false	31b87df9a9fc0c8fd31fcbdf146ff9ad	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_02	m3_mono	reports/pkg_0182/visual/station_02__m3_mono.png	Windows	640	360	true	f6ab8a2be402b60a0c529e4e08587edb	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_03	normal	reports/pkg_0182/visual/station_03__normal.png	Windows	640	360	false	8d9cc021a190dc095d844ac941a42b8b	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_03	key_object	reports/pkg_0182/visual/station_03__key_object.png	Windows	640	360	false	5d80737ade70a27bc38b5ca8b58df71c	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_03	interaction	reports/pkg_0182/visual/station_03__interaction.png	Windows	640	360	false	3a7f07215e8fa57dd88f19d6a1b2d492	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_03	m3_mono	reports/pkg_0182/visual/station_03__m3_mono.png	Windows	640	360	true	e964bea79223d8190b38ee6ddeb8cbfc	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_04	normal	reports/pkg_0182/visual/station_04__normal.png	Windows	640	360	false	639eabe67c4228d4065a37d88b0a8732	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_04	key_object	reports/pkg_0182/visual/station_04__key_object.png	Windows	640	360	false	7473ace291e77b1fe2b13d4eb8b64b36	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_04	interaction	reports/pkg_0182/visual/station_04__interaction.png	Windows	640	360	false	e99a3d49fb5a5da6a992c78dac8c9249	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_04	m3_mono	reports/pkg_0182/visual/station_04__m3_mono.png	Windows	640	360	true	d6177705aa041754925206183c344f67	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_05	normal	reports/pkg_0182/visual/station_05__normal.png	Windows	640	360	false	c66f0f690099d756634a30024b84fa19	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_05	key_object	reports/pkg_0182/visual/station_05__key_object.png	Windows	640	360	false	64cb259c0c47d503148a3fb3b5f5ed54	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_05	interaction	reports/pkg_0182/visual/station_05__interaction.png	Windows	640	360	false	eda02356d5b1df2c8e695a37748eb2f3	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_05	m3_mono	reports/pkg_0182/visual/station_05__m3_mono.png	Windows	640	360	true	21e5f43785bd52c2ef41980b3193c2bd	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_06	normal	reports/pkg_0182/visual/station_06__normal.png	Windows	640	360	false	5ac85db0a9f9a61fbba1394c4616cbfc	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_06	key_object	reports/pkg_0182/visual/station_06__key_object.png	Windows	640	360	false	56ed98c0e7506a88ee573f4cb22c8ca0	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_06	interaction	reports/pkg_0182/visual/station_06__interaction.png	Windows	640	360	false	19e9e507a671abcf2faefd6bc6489df7	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_06	m3_mono	reports/pkg_0182/visual/station_06__m3_mono.png	Windows	640	360	true	90f32ed7bfe0ef46fece0fe0201b3cf4	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_07	normal	reports/pkg_0182/visual/station_07__normal.png	Windows	640	360	false	4747bffa5fb594471ab313f365e2763b	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_07	key_object	reports/pkg_0182/visual/station_07__key_object.png	Windows	640	360	false	730a5c3548212230bf8f824e0e8c0de9	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_07	interaction	reports/pkg_0182/visual/station_07__interaction.png	Windows	640	360	false	d6cd92cada7f563b8157031586c9305b	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_07	m3_mono	reports/pkg_0182/visual/station_07__m3_mono.png	Windows	640	360	true	ad6ad1145974fdfd1fb5143ddb0848b7	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_08	normal	reports/pkg_0182/visual/station_08__normal.png	Windows	640	360	false	9590c18c3da18457de1e4390875d04db	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_08	key_object	reports/pkg_0182/visual/station_08__key_object.png	Windows	640	360	false	052c14293ee8bc70d00c7985494c5412	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_08	interaction	reports/pkg_0182/visual/station_08__interaction.png	Windows	640	360	false	d03ecd6d26898b661754f91f4d5dcc86	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_08	m3_mono	reports/pkg_0182/visual/station_08__m3_mono.png	Windows	640	360	true	ad89a116572429bac9c082f8c098e87f	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_09	normal	reports/pkg_0182/visual/station_09__normal.png	Windows	640	360	false	d98d43f75aaef94bde18a32b394f7543	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_09	key_object	reports/pkg_0182/visual/station_09__key_object.png	Windows	640	360	false	1c14ea227d865ad11fba1a0ed88d8390	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_09	interaction	reports/pkg_0182/visual/station_09__interaction.png	Windows	640	360	false	68d53a3fcfd0d3e1cb12f8c5d2840733	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_09	m3_mono	reports/pkg_0182/visual/station_09__m3_mono.png	Windows	640	360	true	f4d368ad89ee7ff5281e058d2a20a6d8	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_10	normal	reports/pkg_0182/visual/station_10__normal.png	Windows	640	360	false	83ba239daf9e15293288ffd688776752	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_10	key_object	reports/pkg_0182/visual/station_10__key_object.png	Windows	640	360	false	9914dcf5a7eeb38d621b01abbc69f4f8	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_10	interaction	reports/pkg_0182/visual/station_10__interaction.png	Windows	640	360	false	70fb52ea2158d1252572f84da6dcf571	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_10	m3_mono	reports/pkg_0182/visual/station_10__m3_mono.png	Windows	640	360	true	0fa2a55033e8a0cb79db811c21cc9cc6	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
station_11	normal	reports/pkg_0182/visual/station_11__normal.png	Windows	640	360	false	c0a688b3aed85206c4e57c79a1b35714	640x360,pixel-grid capture	HEURISTIC-PASS: hierarchy,silhouette,focal-point,material,depth,rhythm,lighting,palette,identity,clutter reviewed in montages
