path	phase	last_line
res://reports/pkg_0193/visual_final/s09_100_000_line.png	line	Lena: Cudzy salon. Dwie filiżanki są jeszcze ciepłe.
res://reports/pkg_0193/visual_final/s09_100_001_rest.png	rest	Lena: Cudzy salon. Dwie filiżanki są jeszcze ciepłe.
res://reports/pkg_0193/visual_final/s09_100_002_line.png	line	Lena: Dwa płaszcze. Moje robocze buty stoją obok pantofli Marty.
res://reports/pkg_0193/visual_final/s09_100_003_line.png	line	Lena: Na oparciu został jej sweter. Jeszcze pachnie mydłem.
res://reports/pkg_0193/visual_final/s09_100_004_rest.png	rest	Lena: Na oparciu został jej sweter. Jeszcze pachnie mydłem.
res://reports/pkg_0193/visual_final/s09_100_005_line.png	line	Lena: Marta obejmuje mnie od tyłu. Trzymam jej dłoń na swoim brzuchu.
res://reports/pkg_0193/visual_final/s09_100_006_line.png	line	Lena: Ma mokre włosy przyklejone do policzka. Nie pamiętam tego zdjęcia.
res://reports/pkg_0193/visual_final/s09_100_007_rest.png	rest	Lena: Ma mokre włosy przyklejone do policzka. Nie pamiętam tego zdjęcia.
res://reports/pkg_0193/visual_final/s09_100_008_line.png	line	Lena: Klamka jest ciepła.
res://reports/pkg_0193/visual_final/s09_100_009_line.png	line	Lena: Nie. Zapytam Martę.
res://reports/pkg_0193/visual_final/s09_100_010_rest.png	rest	Lena: Nie. Zapytam Martę.
res://reports/pkg_0193/visual_final/s10_100_011_line.png	line	Lena: Marta wyciera blat. Nie odwraca się od razu.
res://reports/pkg_0193/visual_final/s10_100_012_rest.png	rest	Lena: Marta wyciera blat. Nie odwraca się od razu.
res://reports/pkg_0193/visual_final/s10_100_013_line.png	line	Marta: Podaj mi ten kubek. Nie ten, z uchem.
res://reports/pkg_0193/visual_final/s10_100_014_line.png	line	Lena: Zawsze brałaś biały.
res://reports/pkg_0193/visual_final/s10_100_015_line.png	line	Marta: Biały jest twój.
res://reports/pkg_0193/visual_final/s10_100_016_line.png	line	Lena: Postawię oba tutaj.
res://reports/pkg_0193/visual_final/s10_100_017_rest.png	rest	Lena: Postawię oba tutaj.
res://reports/pkg_0193/visual_final/s10_100_018_line.png	line	Marta: Po deszczu wróciłyśmy tutaj. Kurtkę zostawiłaś na kaloryferze.
res://reports/pkg_0193/visual_final/s10_100_019_line.png	line	Lena: Oddałaś mi ją na parkingu.
res://reports/pkg_0193/visual_final/s10_100_020_line.png	line	Marta: Potem wróciłyśmy razem.
res://reports/pkg_0193/visual_final/s10_100_021_line.png	line	Lena: Pokłóciłyśmy się. Potem już nie pracowałyśmy razem.
