path	phase	last_line
res://reports/pkg_0195/visual_final/s42a_100_000_line.png	line	Lena: Ten sam stół. Świt. Jedno miejsce puste.
res://reports/pkg_0195/visual_final/s42a_100_001_rest.png	rest	Lena: Ten sam stół. Świt. Jedno miejsce puste.
res://reports/pkg_0195/visual_final/s42a_100_002_line.png	line	Lena: Numer domowy. Brak drugiej odpowiedzi.
res://reports/pkg_0195/visual_final/s42a_100_003_line.png	line	Lena: Kładę czytnik na stole. Zamiast odpowiedzi.
res://reports/pkg_0195/visual_final/s42a_100_004_line.png	line	EKRAN CZYTNIKA: Proponowana etykieta: BŁĄD CZUJNIKA.
res://reports/pkg_0195/visual_final/s42a_100_005_line.png	line	Lena: Najpierw wykonanie. Skutek odczytam potem.
res://reports/pkg_0195/visual_final/s42a_100_006_rest.png	rest	Lena: Najpierw wykonanie. Skutek odczytam potem.
res://reports/pkg_0195/visual_final/s42a_100_007_line.png	line	Lena: Kanał zamknięty. Po drugiej stronie cisza, nie głos.
res://reports/pkg_0195/visual_final/s42a_100_008_line.png	line	Lena: Nie wymyślę jej odpowiedzi. Została między adresami.
res://reports/pkg_0195/visual_final/s42a_100_009_rest.png	rest	Lena: Nie wymyślę jej odpowiedzi. Została między adresami.
res://reports/pkg_0195/visual_final/s42a_100_010_vignette.png	vignette	Lena: Nie wymyślę jej odpowiedzi. Została między adresami.
res://reports/pkg_0195/visual_final/s42a_100_011_line.png	line	Marta domowa: Gdzie byłaś?
res://reports/pkg_0195/visual_final/s42a_100_012_line.png	line	Lena: Najpierw posłuchaj próbki.
res://reports/pkg_0195/visual_final/s42a_100_013_line.png	line	APEL Z RÓWNI: Przy zgłoszeniu o zaginięciu Marta zostawiła drugie. Nadal szuka partnerki.
res://reports/pkg_0195/visual_final/s42a_100_014_line.png	line	ZAPIS SERWISOWY: Jakub oddał napęd przed końcem zmiany. Cenę zamknięcia zna z pierwszej ręki.
res://reports/pkg_0195/visual_final/s42a_100_015_line.png	line	RAPORT UCP: Incydent wygładzony. Kontrola utrzymana.
res://reports/pkg_0195/visual_final/s42a_100_016_rest.png	rest	RAPORT UCP: Incydent wygładzony. Kontrola utrzymana.
res://reports/pkg_0195/visual_final/s42b_100_017_line.png	line	Lena: Przepływ zamknięty. Próg cichy. Ona jest w środku.
res://reports/pkg_0195/visual_final/s42b_100_018_rest.png	rest	Lena: Przepływ zamknięty. Próg cichy. Ona jest w środku.
res://reports/pkg_0195/visual_final/s42b_100_019_line.png	line	Lena: Jej adres wrócił. Mój zniknął.
res://reports/pkg_0195/visual_final/s42b_100_020_line.png	line	Lena: Wygaszam domową sygnaturę. Wzmacniam lokalną odpowiedź.
res://reports/pkg_0195/visual_final/s42b_100_021_line.png	line	Lena: Dopiero po jej powrocie zamknę kanał.
res://reports/pkg_0195/visual_final/s42b_100_022_rest.png	rest	Lena: Dopiero po jej powrocie zamknę kanał.
res://reports/pkg_0195/visual_final/s42b_100_023_line.png	line	Marta: Co wiedziałaś przed testem?
res://reports/pkg_0195/visual_final/s42b_100_024_line.png	line	Miejscowa Lena: Próbę zrobiłam sama. UCP dopisało resztę.
res://reports/pkg_0195/visual_final/s42b_100_025_line.png	line	Marta: Poznaję twój oddech. Klucz dostaniesz, kiedy odpowiesz.
res://reports/pkg_0195/visual_final/s42b_100_026_rest.png	rest	Marta: Poznaję twój oddech. Klucz dostaniesz, kiedy odpowiesz.
res://reports/pkg_0195/visual_final/s42b_100_027_vignette.png	vignette	Marta: Poznaję twój oddech. Klucz dostaniesz, kiedy odpowiesz.
res://reports/pkg_0195/visual_final/s42b_100_028_line.png	line	Lena: Jestem na wiacie z linii 03. Czytnik nie ma tu adresu.
res://reports/pkg_0195/visual_final/s42b_100_029_line.png	line	EKRAN CZYTNIKA: Wysłana wiadomość: Jadę. Adresat: brak w sieci.
res://reports/pkg_0195/visual_final/s42b_100_030_line.png	line	WIADOMOŚĆ DOMOWA: Marta zostawiła zgłoszenie bez szczegółu próby.
res://reports/pkg_0195/visual_final/s42b_100_031_line.png	line	ZAPIS SERWISOWY: Jakub oddał napęd przed końcem zmiany. Dalej pracuje w swoim zakresie.
res://reports/pkg_0195/visual_final/s42b_100_032_line.png	line	ZAPIS UCP: Eksport kosztów z tego węzła zamknięty.
res://reports/pkg_0195/visual_final/s42b_100_033_rest.png	rest	ZAPIS UCP: Eksport kosztów z tego węzła zamknięty.
res://reports/pkg_0195/visual_final/s42c_100_034_line.png	line	Lena: Dwa czytniki. Świt. Ta sama sekunda po obu stronach.
res://reports/pkg_0195/visual_final/s42c_100_035_rest.png	rest	Lena: Dwa czytniki. Świt. Ta sama sekunda po obu stronach.
